link,address,name
https://www.zomato.com/indore/cafe-bake-well-south-tukoganj,"2-A, Hotel Crown Palace, Kanchan Bagh, Near Geeta Bhawan Square, South Tukoganj, Indore",Cafe Bake Well
https://www.zomato.com/indore/new-egg-zone-hig-lig,"203 D, Swan Bag Colony, Near Red Mapple Bakery, Indore, HIG-LIG, Indore",New Egg Zone
https://www.zomato.com/indore/royal-sandwich-hig-lig,"Shop 143, Anoop Nagar, HIG-LIG, Indore",Royal Sandwich
https://www.zomato.com/indore/urban-desi-bistro-new-palasia,"Floor 28, Upper Ground Floor, One Centre, Palasiahana, Opposite 56 ShopIndore, New Palasia, Indore",Urban Desi Bistro
https://www.zomato.com/indore/lig-maggi-pasta-old-palasia,"108, Ashirwad Complex, Kanadiya Road, Old Palasia, Indore",LIG Maggi & Pasta
https://www.zomato.com/food-4-foodie-1-food-truck,"A5, Radhika Kunj, Near LIG Link Road, HIG-LIG, Indore",Food 4 Foodie
https://www.zomato.com/indore/oye24-hig-lig,"Plot 134, Opposite Water Tank, Malwa Mill Square, Anaj Mandir, Scheme 91, Indore",Oye24
https://www.zomato.com/indore/dilli-darbar-family-restaurant-old-palasia,"1, Manorama Ganj, Palasia Square, Old Palasia, Indore",Dilli Darbar Family Restaurant
https://www.zomato.com/indore/24-hours-bakery-shop-vijay-nagar,"EC-4, Scheme 94, Mahalaxmi Nagar, Near Bombay Hospital, Vijay Nagar, Indore",24 Hours Bakery Shop
https://www.zomato.com/indore/behrouz-biryani-old-palasia,"UG 8, Amar Darshan Building, Khajrana Main Road, Saket Square, Near Saket Pan Corner, Old Palasia, Indore",Behrouz Biryani
https://www.zomato.com/indore/atul-sandwich-and-cafe-old-palasia,"34 & 35, Lower Ground Floor, Navneet Plaza, Old Palasia, Indore",Atul Sandwich And Cafe
https://www.zomato.com/indore/sagar-gaire-2-new-palasia,"Shop No.1, NM Tower, Chappan Dukan, New Palasia, Indore",Sagar Gaire
https://www.zomato.com/indore/singh-restaurant-vijay-nagar,"Plot 1, Scheme 78, Part 2, Opposite Prestige Collage, Vijay Nagar, Indore",Singh Restaurant
https://www.zomato.com/indore/cafe-yolo-vijay-nagar,"65, Scheme 78-II, Opposite Prestige College, Vijay Nagar, Indore",Cafe Yolo
https://www.zomato.com/indore/shree-gurukripa-vijay-nagar,"Kushabhau Thakre Marg, Opposite Bombay Hospital, Vijay Nagar, Indore",Shree Gurukripa
https://www.zomato.com/indore/laxmi-narayan-doodhwala-old-palasia,"G-10, The Mark Building, Anand Bazar Square, Old Palasia, Indore",Laxmi Narayan Doodhwala
https://www.zomato.com/indore/via-indore-new-palasia,"Lower Ground 5, Vidhyapati, Race Course Road, New Palasia, Indore",Via Indore
https://www.zomato.com/indore/galliyara-restaurant-khajrana,"Scheme 94, Plot ED 143, Sector D, Ring Road, Vijay Nagar, Indore",Galliyara Restaurant
